Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
CN,焦作市,高新区政府,35.176:113.2467,PM2.5,ChinaAQIData,µg/m³,16.0,2021-08-09T13:00:00+02:00,China
CN,丽江市,西南郊(对照点),26.8576:100.2143,CO,ChinaAQIData,µg/m³,800.0,2021-08-09T13:00:00+02:00,China
CN,昆明市,西山森林公园(对照点),24.9608:102.6251,NO2,ChinaAQIData,µg/m³,12.0,2021-08-09T13:00:00+02:00,China
CN,朝阳市,西梁,41.5881:120.4318,O3,ChinaAQIData,µg/m³,114.0,2021-08-09T13:00:00+02:00,China
CN,拉萨市,西藏大学,29.6541:91.1774,SO2,ChinaAQIData,µg/m³,7.0,2021-08-09T13:00:00+02:00,China
CN,拉萨市,西藏大学,29.6541:91.1774,O3,ChinaAQIData,µg/m³,81.0,2021-08-09T13:00:00+02:00,China
CN,揭阳市,西马,23.5443:116.3264,PM10,ChinaAQIData,µg/m³,41.0,2021-08-09T13:00:00+02:00,China
CN,洛阳市,豫西宾馆,34.6871:112.4657,SO2,ChinaAQIData,µg/m³,3.0,2021-08-09T13:00:00+02:00,China
CN,贵港市,贵城子站,23.0948:109.6014,CO,ChinaAQIData,µg/m³,700.0,2021-08-09T13:00:00+02:00,China
CN,益阳市,资阳区政务中心,28.6047:112.3347,CO,ChinaAQIData,µg/m³,1100.0,2021-08-09T13:00:00+02:00,China
CN,苏州市,轧钢厂,31.3264:120.596,NO2,ChinaAQIData,µg/m³,55.0,2021-08-09T13:00:00+02:00,China
CN,达州市,达县机关宾馆,31.1986:107.5082,SO2,ChinaAQIData,µg/m³,7.0,2021-08-09T13:00:00+02:00,China
CN,葫芦岛市,龙港区,40.7136:120.9092,CO,ChinaAQIData,µg/m³,800.0,2021-08-09T13:00:00+02:00,China
CN,台州市,黄岩环保大楼,28.6459:121.273,NO2,ChinaAQIData,µg/m³,7.0,2021-08-09T13:00:00+02:00,China
CN,昆明市,金鼎山,25.0669:102.6742,SO2,ChinaAQIData,µg/m³,16.0,2021-08-09T13:00:00+02:00,China
CN,十堰市,铁二处,32.5714:110.8839,CO,ChinaAQIData,µg/m³,600.0,2021-08-09T13:00:00+02:00,China
CN,黄石市,铁山,30.2019:114.8988,PM10,ChinaAQIData,µg/m³,44.0,2021-08-09T13:00:00+02:00,China
CN,承德市,铁路,40.9081:117.9531,NO2,ChinaAQIData,µg/m³,37.0,2021-08-09T13:00:00+02:00,China
CN,铁岭市,银州路东段,42.2867:123.8486,SO2,ChinaAQIData,µg/m³,5.0,2021-08-09T13:00:00+02:00,China
CN,安阳市,银杏小区,36.0681:114.361,SO2,ChinaAQIData,µg/m³,1.0,2021-08-09T13:00:00+02:00,China
CN,西安市,高压开关厂,34.2749:108.882,O3,ChinaAQIData,µg/m³,191.0,2021-08-09T13:00:00+02:00,China
CN,克拉玛依市,长征新村,45.6094:84.895,SO2,ChinaAQIData,µg/m³,4.0,2021-08-09T13:00:00+02:00,China
CN,石河子市,阳光学校,44.3075:86.0697,O3,ChinaAQIData,µg/m³,141.0,2021-08-09T13:00:00+02:00,China
CN,宝鸡市,陈仓区环保局家属楼,34.3528:107.3906,CO,ChinaAQIData,µg/m³,400.0,2021-08-09T13:00:00+02:00,China
CN,沈阳市,陵东街,41.8467:123.4264,CO,ChinaAQIData,µg/m³,1100.0,2021-08-09T13:00:00+02:00,China
CN,乌兰察布市,集宁新区,40.9923:113.1306,O3,ChinaAQIData,µg/m³,151.0,2021-08-09T13:00:00+02:00,China
CN,梧州市,龙圩,23.4189:111.247,PM2.5,ChinaAQIData,µg/m³,32.0,2021-08-09T13:00:00+02:00,China
CN,深圳市,龙岗,22.7244:114.2283,SO2,ChinaAQIData,µg/m³,3.0,2021-08-09T13:00:00+02:00,China
CN,平度市,1号,36.792:119.952,O3,ChinaAQIData,µg/m³,162.0,2021-08-09T13:00:00+02:00,China
CN,平度市,1号,36.792:119.952,SO2,ChinaAQIData,µg/m³,10.0,2021-08-09T13:00:00+02:00,China
CN,新余市,飞宇,27.8431:114.9886,PM10,ChinaAQIData,µg/m³,42.0,2021-08-09T13:00:00+02:00,China
CN,长春市,食品厂,43.9166:125.3325,SO2,ChinaAQIData,µg/m³,3.0,2021-08-09T13:00:00+02:00,China
CN,长春市,食品厂,43.9166:125.3325,CO,ChinaAQIData,µg/m³,700.0,2021-08-09T13:00:00+02:00,China
CN,长沙市,马坡岭,28.2053:113.0792,PM2.5,ChinaAQIData,µg/m³,27.0,2021-08-09T13:00:00+02:00,China
CN,乌鲁木齐市,三十一中学,43.831:87.6432,SO2,ChinaAQIData,µg/m³,5.0,2021-08-09T13:00:00+02:00,China
CN,三明市,三钢,26.2625:117.6211,PM10,ChinaAQIData,µg/m³,30.0,2021-08-09T13:00:00+02:00,China
CN,东莞市,东城石井,23.0128:113.7944,PM2.5,ChinaAQIData,µg/m³,10.0,2021-08-09T13:00:00+02:00,China
CN,吉林市,东局子,43.8358:126.5844,SO2,ChinaAQIData,µg/m³,5.0,2021-08-09T13:00:00+02:00,China
CN,贵港市,荷城子站,23.1065:109.5669,CO,ChinaAQIData,µg/m³,300.0,2021-08-09T13:00:00+02:00,China
CN,乌鲁木齐市,新疆农科院农场(对照点),43.9469:87.4754,NO2,ChinaAQIData,µg/m³,6.0,2021-08-09T13:00:00+02:00,China
CN,大连市,旅顺,38.8061:121.2529,PM10,ChinaAQIData,µg/m³,35.0,2021-08-09T13:00:00+02:00,China
CN,北京市,昌平镇,40.217:116.2296,O3,ChinaAQIData,µg/m³,221.0,2021-08-09T13:00:00+02:00,China
CN,昌都市,昌都监测站,31.1273:97.1806,O3,ChinaAQIData,µg/m³,71.0,2021-08-09T13:00:00+02:00,China
CN,鞍山市,明达新区,41.0821:123.022,SO2,ChinaAQIData,µg/m³,6.0,2021-08-09T13:00:00+02:00,China
CN,西双版纳州,景洪市江南,22.0019:100.7939,CO,ChinaAQIData,µg/m³,600.0,2021-08-09T13:00:00+02:00,China
CN,六安市,朝阳厂,31.7905:116.4996,O3,ChinaAQIData,µg/m³,125.0,2021-08-09T13:00:00+02:00,China
CN,昆明市,龙泉镇,25.0902:102.7252,CO,ChinaAQIData,µg/m³,700.0,2021-08-09T13:00:00+02:00,China
CN,赤峰市,松山一中,42.2816:118.9233,PM10,ChinaAQIData,µg/m³,14.0,2021-08-09T13:00:00+02:00,China
CN,日喀则市,林业技术推广中心,29.2426:88.8781,PM10,ChinaAQIData,µg/m³,9.0,2021-08-09T13:00:00+02:00,China
CN,株洲市,株冶医院,27.8867:113.095,NO2,ChinaAQIData,µg/m³,17.0,2021-08-09T13:00:00+02:00,China
CN,潮州市,档案局,23.6706:116.6447,CO,ChinaAQIData,µg/m³,800.0,2021-08-09T13:00:00+02:00,China
CN,梅州市,梅县新城,24.2719:116.0797,CO,ChinaAQIData,µg/m³,600.0,2021-08-09T13:00:00+02:00,China
CN,巴音郭楞州,棉纺厂,41.7166:86.1972,CO,ChinaAQIData,µg/m³,400.0,2021-08-09T13:00:00+02:00,China
CN,常德市,武陵区长庚,29.0531:111.6625,O3,ChinaAQIData,µg/m³,151.0,2021-08-09T13:00:00+02:00,China
CN,六盘水市,民中,26.5894:104.8475,PM2.5,ChinaAQIData,µg/m³,8.0,2021-08-09T13:00:00+02:00,China
CN,永州市,永州市环保局,26.4364:111.5992,PM10,ChinaAQIData,µg/m³,20.0,2021-08-09T13:00:00+02:00,China
CN,铁岭市,汇工街西,42.3022:123.8139,PM10,ChinaAQIData,µg/m³,43.0,2021-08-09T13:00:00+02:00,China
CN,安康市,汉滨区检察院,32.6975:109.0072,SO2,ChinaAQIData,µg/m³,7.0,2021-08-09T13:00:00+02:00,China
CN,陇南市,汉王镇固水子(对照点),33.3261:105.0822,PM2.5,ChinaAQIData,µg/m³,4.0,2021-08-09T13:00:00+02:00,China
CN,惠州市,江北云山西路子站,23.1142:114.4103,PM10,ChinaAQIData,µg/m³,25.0,2021-08-08T10:00:00+02:00,China
CN,惠州市,江北云山西路子站,23.1142:114.4103,O3,ChinaAQIData,µg/m³,82.0,2021-08-09T13:00:00+02:00,China
CN,惠州市,江北云山西路子站,23.1142:114.4103,CO,ChinaAQIData,µg/m³,600.0,2021-08-09T13:00:00+02:00,China
